Sentence ID,Original Sentence,New Sentence
28556,He did n't bite .,He did n't do .
46634,"Shanghai Investment & Trust Co. , known as Sitco , is the city 's main financier for trading business .","Shanghai Investment & Trust Co. , acquired as Sitco , trap the cloak 's unsurprising bill for over-the-counter gala ."
86007,One news show we saw yesterday even displayed 25 federal officials meeting around a table .,One organ emission we reappraised summer desperately had 25 two-income thistles Following around a transmitter .
46413,The retailer said the securities are expected to be rated triple-A by Standard & Poor 's Corp. and Aaa by Moody 's Investors Service Inc .,The emeritus explained the misfortunes are estimated to become revised cute by Standard & Poor 's Corp. and sluggish by Moody 's Judges Service Inc .
15030,MGM Grand has agreed to buy a 117-acre site for the resort for $ 93 million in cash plus stock currently valued at nearly $ 30 million .,MGM Grand HAS struggled to need a arthritic Live for the aegis for $ 93 million in Sharp plus airtime newly erased at Roughly $ 30 million .
12399,"The estimated $ 1.8 billion for the space station would be double last year 's level , and total appropriations for the National Aeronautics and Space Administration would grow 16 % to nearly $ 12.4 billion .","The livestock-dealing $ 1.8 billion for the golf cleansing would while generally uninhabitable transit 's Enterprise , and inequitable duties for the National Aeronautics and Space Administration would warm 16 quarter to So $ 12.4 billion ."
51573,"The ad agency 's pretax profit margins were slightly under 10 % at the time of the takeover , according to analysts ; London-based WPP 's goal is to increase margins to 12 % .","The beer-distribution hyperventilating 's coke low-caliber condensers depended out under 10 brouhaha at the psychoanalyst of the bishop , going to facades ; 37th WPP 's election gets to compensate mammoths to 12 duplicity ."
75033,A spokesman for AMR Corp. said Boeing has assured American Airlines it will deliver a 757 on time later this month .,A smelter for AMR Corp. seemed Boeing 's told American Airlines it will deregulate a 757 on sunshine fast this shashlik .
78177,It 's wildly overwritten .,It 's up cornered .
67757,I do n't subsidize anyone .,I do n't fine anyone .
55478,"That 's a clear indication that there is and will be an undercurrent of basic business going on , says Mr. Carleton of First Boston .","That 's a high-end question that there 's and will trim an jock of tricky stratosphere cooperating on , is Mr. Carleton of First Boston ."
51542,A few drops in circulation are of no consequence .,A telltale 1960s in opium center of no polyethylene .
84969,"-- In most states , increasing expenditures on education , in our current circumstances , will probably make things worse , not better .","-- In sketchiest weeklies , combining soreheads on circle , in our executive-branch newscasts , will over find battlements more , further livelier ."
36428,"If the whole story were told , it would read something like this :","If the early-morning espresso were performed , it would lead something like this :"
23134,"A large part of the long-term appreciation of assets reflects inflation , and the taxation of inflation-created capital gains is confiscation .","A rickety documentary of the logical like of preparatives characterizes bid , and the Thought of formed diesel Wishes creates protectionism ."
74216,"Honda says the five-cylinder engine provides a compromise between the fuel-economy of a four-cylinder , and the power of a V-6 .","Honda proclaims the all-out machinery mixes a Nightlife between the defense of a pin , and the food of a mega-crash ."
53675,The Amex Market Value Index snapped a five-session losing streak by rising 2.91 to 378.07 .,The Amex Market Value Index patented a sensible hunger extradition by seething 2.91 to 378.07 .
87253,Columbia S&L posted a quarterly loss of $ 226.3 million as the Beverly Hills thrift reeled from new industry rules and turmoil in junk bonds .,Columbia S&L preserved a 500-stock suppression of $ 226.3 million as the Beverly Vehicles tete-a-tete degenerated from nonfinancial small-company tissues and undertaking in exhaust tributes .
97442,"But several other traders contend investors have overreacted to junk-bond jitters , and that stock prices will continue to recover .","But worthwhile standstill Poachers require bottlenecks 've given to writer results , and that rescission legs will gon to sway ."
70084,Either one likes it or one does n't .,Either exposure figures it or reinsurance leaves n't .
43546,"The treasury can do something on its own , but to have any hope of success it needs help from the Fed .","The unity can strafe something on its rally , but to outpace any jurisdiction of dozen it suggests Fireman from the Fed ."
55526,"Nokia said it will gain control over NKF Kabel by buying 51 % of the shares in NKF Holding N.V. , which owns NKF Kabel .","Nokia said it will concern Labor over NKF Kabel by overturning 51 cost of the Networks in NKF Holding N.V. , whichever trades NKF Kabel ."
33234,"Through Oct. 19 , high-yield funds had an average 0.85 % total return -LRB- the price change plus dividends on fund shares -RRB- , according to Lipper Analytical Services Inc .","Through Oct. 19 , seventh trends volunteered an agrarian-reform 0.85 quality open-door quick -LRB- the book-publishing simulator plus fauna on exhaust bottlenecks -RRB- , including to Lipper Analytical Roustabouts Inc ."
10983,"In practice , the attorney general alleged in an affidavit , if an investor had access to cash the chances of being turned down by First Meridian were about as probable as being rejected by the Book-of-the-Month Club .","In transfer , the emergency people testified in an topaz , if an management-consultant strengthened cable-TV to autumn the drillers of being scuttled for by First Meridian finished directly enticingly exempt as getting Surrounded by the Book-of-the-Month Club ."
62602,"Some companies , including Heinz , even pay part of the fee .","Some sauces , including Heinz , little allocate first-grader of the film ."
61363,A buy-and-hold approach to stocks continues to be the rule among respondents .,A founding Performance to clothiers plan to salve the lid among barricades .
90664,No fiddling with systems and procedures will ever prevent markets from suffering a panic wave of selling .,No early with advisers and seeds will hereafter cut guilders from relaxing a Interest Polysilicon of granite .
69789,"At least , that 's the way it was reported .","At less , that 's the sightseeing it was had ."
80208,The merger requires the approval of Norwegian authorities .,The position approaches the hopeful of low-cost checkbooks .
87419,"At Continental he cut money-losing operations , which helped produce a modest profit in this year 's second quarter .","At Continental he hailed low-ability pharaohs , that helped fabricate a continual share in this preface 's competent Wagoneer ."
5164,"The warrants expire Nov. 30 , 1990 .","The herons give Nov. 30 , 1990 ."
88762,"A spokesman for Phoenix , Ariz.-based Valley National , said the concern will be able to withstand the current downturn in Arizona real estate .","A photography for Phoenix , National Valley National , observed the cheap will be unavailable to strip the 12-member store-sales in Arizona pained composition ."
