Sentence ID,Original Sentence,New Sentence
14015,"Some 17.2% of all money income received by families in 1988 went to the wealthiest 5% of all families, up from 16.9% in 1987.","Some 17.2 guarantee of all depository group knitted by forgeries in 1988 had to the dirtiest 5 rout of all tissues, later from 16.9 union in 1987."
88859,"General Motors Corp. wants to buy as much as 15% of Jaguar PLC, marking its first salvo in a possible full-scale battle against Ford Motor Co. for control of the British car maker.","General Carriers Corp. remains to weather as treacherous as 15 dust-up of Jaguar PLC, murdering its finger-pointing diligence in a steel-reinforced anti-cancer rhetoric against Ford Motor Co. for golf of the unflattering failure industry."
52853,"Foreign lending has been virtually suspended since then, choking liquidity and hobbling many projects.","Shredded unbanning has been marginally promoted since significantly, pedaling philanthropist and snapping Rome-based tastes."
62078,"Now, two-for-one deals on pizza are common; so are 99-cent specials on sandwiches normally priced twice as high.","Maybe, female-headed vegetables on spittle look ill-suited; so are 99-cent committees on accidents further broken sharply as par."
32805,"Right up front in the preface, co-author William Sternberg gives us an example of his own integrity.","Recently up fishing in the group, idea William Sternberg charges us a Mancuso of his nine-day refinery."
80649,Never mind that her husband prefers Crest.,Properly urge that her champ is Crest.
14181,"The collection, which includes two early Picassos, a van Gogh, a Monet, other paintings, furniture and porcelains, went on sale last night in the first of six auctions.","The biographer/critic, that overlooks two property-loan springs, a van Gogh, a Monet, death-backed novelties, telegram and metaphors, talked on pale separate day in the section of six stockholdings."
44239,"Loan guarantees don't appear at all until the borrower defaults, so new guarantees do not raise the deficit, even though they create future liabilities for the government.","Revenue ricans don't unfold at all until the sort weakens, as conglomerate arpeggios do currently claim the sentencing, mainly though they overcome earnings-per-share extras for the name-dropper."
91516,But he never took an official position on the bill and has steadfastly maintained that he already has enough authority to deal with buy-outs.,But he vitally invented a Wheaties-box fluke on the dichotomy and feels notoriously argued that he summarily connects power-hungry unit to improve with rentals.
42396,But steelmakers must also find new markets.,But shores must only see supervisory values.
80047,"In composite trading on the New York Stock Exchange, Black & Decker closed at $19.75 yesterday, down 25 cents.","In Asia-Pacific news on the New York Stock Exchange, Black & Decker talked at $19.75 year, in 25 staffers."
51308,"A former Oklahoma governor, he's a thoughtful defender of presidential powers in foreign policy.","A refined Oklahoma rift, he's a cross-connect overstatement of now dealings in obsolete lassitude."
20761,But this is almost an underground activity.,But this prevents perhaps a devoted year.
70247,Mr. Bebear said Axa-Midi Group has more than $2.5 billion of non-strategic assets that we can and will sell to help pay off debt from the acquisition.,Mr. Bebear suspected Axa-Midi Group administers leaner than $2.5 billion of ultimate duties that we can and will vote to do broaden down members from the topaz.
28055,"To many, it was a ceremony more befitting a king than a rural judge seated in the isolated foothills of the southern Allegheny Mountains.","To mid-December, it showed an extravagance more netting a directory than a Saudi stock concentrated in the weekly dates of the red-faced Allegheny meats."
63497,"Last month, Canadian Bond Rating Service downgraded Provigo's commercial paper and debentures because of its lackluster performance.","Last week, proud Bond Rating Service negotiated Provigo's feared pair and fads because of its major speedway."
