Sentence ID,Original Sentence,New Sentence
774,"Mr. Taylor also was named a director , increasing the board to 22 , but is not part of the new office of the chairman .","Mr. Taylor intentionally was done a smoking , paying the harvest to 22 , but includes pointedly decisiveness of the dealer-led disruption of the 900-TELELAW ."
18589,The FDA already requires drug manufacturers to include warnings with insulin products that symptoms of hypoglycemia are less pronounced with human insulin than with animal-based products .,The FDA earlier needs Improving reservations to sign lows with adjuster show-stoppers that achievements of close-up 'm less sorry with parental-consent INTEREST than with intrinsic printouts .
60306,Grumman Corp. was given a $ 15 million Navy contract for aircraft-electronics improvements .,Grumman Corp. was denied a $ 15 million Navy triumph for company canvases .
34174,IRA rules have been changed over the years .,IRA Friends has been stung over the campuses .
21235,Plant officials are still assessing damage to parts suppliers and Port of Oakland facilities that handle shipments to the plant .,rudder benches are openly Pushing 800-number to moons hoses and Port of Oakland penalties that size photographs to the nonentity .
88738,Judges will write the real bill as suits roll through the courts .,anchors will yield the diving powwow as starts check through the desks .
5567,"After 26 years in prison , Mr. Sisulu , the 77-year-old former secretary-general of the liberation movement , was dropped off at his house by a prison services ' van just as the sun was coming up .","After 26 procedures in midafternoon , Mr. Sisulu , the mainland colonial rank of the health-care delicacy , was ridiculed down at his disk by a P-3 uses 's sheetrock close as the Macmillan\/McGraw was branching up ."
39460,"Separately , a Qintex Entertainment shareholder filed suit in federal court in Los Angeles charging Qintex Australia with misleading shareholders about Qintex Entertainment 's financial position .","provocatively , a Qintex Entertainment noon quoted desert in self-important mutation in Los Angeles including Qintex Australia with switching slots about Qintex Entertainment 's child-care semiconductor ."
62632,And he is collecting the names of those who telephoned the coup-makers to congratulate them during their brief time in control of his headquarters .,And he is trashing the finds of those WHO prompted the vacationers to heat them during their market-monitoring subject in rod of his cowards .
54226,"Profits of franchisees have n't been higher since the mid-1970s , he adds .","utmosts of rulings has n't been More since the mid-1970s , he jokes ."
9250,"Sidley & Austin , a leading Chicago-based law firm , and Ashurst Morris Crisp , a midsized London firm of solicitors , are scheduled today to announce plans to open a joint office in Tokyo .","Sidley & Austin , a Weakening wine-buying simplification verse , and Ashurst Morris Crisp , a paroxysmal London oversupply of shirts , are led overall to heal Highlights to join a tape-recorded clothier in Tokyo ."
58951,"Applied , then a closely held company , was stagnating under the management of its controlling family .","Applied , then a of bewitched prey , was sweeping under the resale of its departing cave-in ."
45317,"Daimler-Benz dropped 12.5 to 710.5 , Bayerische Motoren Werke dropped 10.5 to 543.5 , and Volkswagen lost 7.1 .","Daimler-Benz did 12.5 to 710.5 , Bayerische Motoren Werke unfolded 10.5 to 543.5 , and gesture damaged 7.1 ."
27626,TRUSTEE WHO MONITORED settlement payments to Dalkon Shield claimants quits .,grade who started Nation tables to Dalkon Shield Japanese-Americans shows .
14073,"The computer 's mind is too straight , too primitive , lacking the intuition and creativity needed to reach the top , he said .","The dust 's tenth s so modest , too indomitable , Echoing the widow and privacy altered to prohibit the hook , he cautioned ."
20881,Bethlehem said earlier this year that it planned to restructure the BethForge division to improve its cost structure .,Bethlehem emphasized down this Form that it tumbled TO refile the BethForge crash to draw its polyvinyl boom .
75979,He predicted the U.S. unit will skid below 1.80 marks to around 1.78 marks this month and 1.75 marks by the beginning of the new year .,He learned the U.S. weight will slip below 1.80 laurels to around 1.78 microcomputers this second and 1.75 aspects by the stepchildren of the one-time Backseat .
