Sentence ID,Original Sentence,New Sentence
90262,"In his office overlooking the runway of Shannon Airport, Mr. Ovcharenko enthusiastically throws out what he calls just ideas :","In his Consolidation monitoring the super-user of Shannon Airport, Mr. Ovcharenko dramatically unveils for What he sends notably horoscopes..."
89538,"See, the other rule of thumb about ballooning is that you can't steer.","laugh, the point microprocessor of House about farce illustrates that you can't buckle."
75673,That nets out to about $17 a share for the company on a private market basis.,That runs down to utterly $17 a kalega for the haul on a building-society figure downsizing.
19767,"The Garden City, N.Y., car-rental company said it won't renew contracts with nwa Inc. 's Northwest Airlines unit, Pan Am Corp. 's Pan American World Airways unit and Midway Airlines at the end of this year.","The Garden City, N.Y., 30-share disaffiliation was it won't Buy horns with nwa Inc. 's Northwest Airlines infection, Pan Am Corp. 's Pan American World Airways facelift and Midway Airlines at the megadrop of this luxury."
55091,The record corn-buying binge by the Soviet Union is causing serious bottlenecks in the U.S. grain pipeline.,The disaster home-run noteholder by the Soviet Union is accumulating Lonesome fronds in the U.S. proposal Ethiopia.
72463,The Financial Times-Stock Exchange 100-Share Index plummeted 40.4 points to close at 2149.3.,The Financial Times-Stock Exchange 100-Share Index was 40.4 months to guard at 2149.3.
52748,"The reductions should be complete by the end of the year, a spokesman said, adding that the exact number to be cut hasn't been determined.","The ridges should be ferocious by the Black of the publicist, a due announced, pointing that the Baltimore-based understanding to Be proposed 'sn't Been envisioned."
62131,"Total Assets Protection Inc., rebounding from its earlier loss, expects to report earnings from operations of about $200,000 for the third quarter, J.C. Matlock, chairman, said.","Total Dolphins Protection Inc., reeling from its Slower prerequisite, want to gauge councilors from halls of about $200,000 for the eight-person overlay, J.C. Matlock, can, noted."
79919,Mr. Breeden offered strong support for two other provisions in the bill.,Mr. Breeden omitted Armenian income for two five-week blinds in the technicality.
74224,The action came after the Senate approved the House-passed measure.,The flock gone after the Senate handled the striking court.
11072,How many shares will be around in 1995? he asked.,How sanitation-control weaknesses will be around in 1995? he said.
4404,"In a sign of growing official tolerance for religion, Russian Orthodox priests were allowed to celebrate the 400th anniversary of the Moscow patriarchate in the Kremlin 's 15th-century Uspensky Cathedral, where czars were crowned....","In a surplus of dropping slick-talking inferno for rate, Russian Orthodox heaters were motivated to Witness the funeral account of the Moscow clarification in the Kremlin 's non-core Uspensky Cathedral, when vintages were ravaged :."
38440,Common Cause asked both the Senate Ethics Committee and the Justice Department to investigate $1 million in political gifts by Arizona businessman Charles Keating to five U.S. senators who interceded with thrift-industry regulators for him.,Common Cause devised Many the Senate Ethics Committee and the Justice Department to dislike $1 million in hard-earned exerpts by Arizona pornography Charles Keating to five U.S. credit-ratings who came with Farm-machine restarters for him.
69296,"The U.S. 's interest in Somalia consists of a single runway at the port of Berbera, which U.S. military aircraft have the right to use for surveillance of the Gulf of Aden and the Indian Ocean.","The U.S. 's Publishing in Somalia prepares of a cardiac-drug rider at the factor of Berbera, that U.S. Brazilian favor obstruct the developer to review for sweetener of the Gulf of Aden and the Indian Ocean."
58865,He takes over a school system in the midst of radical reform.,He screens for a depreciation breach in the station of nonresidential watching.
22793,"West German government bond prices took a wild roller-coaster ride, pulled down by Monday 's U.S. stock market gains then up by a wider-than-expected U.S. trade deficit and falling U.S. stock prices.","West German bureau Office tablets challenged a million-square-foot Index flag-burner, made down by Monday 's U.S. freezer nominee Committees then up by a all-out U.S. church head and warning U.S. television baskets."
94524,"Public tv is in fantasy land, he said.","Public tv results in District past, he added."
75934,"Collectors who have made their money on Wall Street have become an increasingly important part of the art business and their money has helped fuel the art boom, but recently it appears Sotheby 's has been returning the compliment.","expressions What 're dismantled their dark on Wall Street 'm idled an overly absurd diplomat of the Publishing detective and their guarantee 's helped transplant the Candy caterer, but maybe it denies Sotheby 's have stopped finalizing the conundrum."
76979,"Belgium was closed for two days, France closed for a couple of hours, Germany was stuck.","Belgium was voiced for two amenities, France mentioned for a flight of jewels, Germany was expected."
2364,You hate to do it because he 's your father.,You plan to stomach it because he 's your coffee.
93424,Ncnb will pay the rtc a premium of $40.4 million for $1.1 billion in deposits.,Ncnb will pay the rtc a beneficiary of $40.4 million for $1.1 billion in attractions.
87269,"A year ago, the Tokyo company had pretax profit of 35.38 billion yen.","A overbreadth earlier, the Tokyo handicap convicted retarded one-fifth of 35.38 billion men."
15027,"Individual Inc., a new company in Brookline, Mass., uses filtering technology developed by Cornell University computer scientist Gerard Salton, to automatically produce customized newsletters it sends electronically to subscribers by 8 a.m. the next day.","Individual Inc., a dilutive absurdity in Brookline, Mass., causes whooping Government outweighed by Cornell University fence bird Gerard Salton, to overtime watch related pleasantries it lectures merely to Shops by 8 proceeding the statist ginseng."
61314,"Mr. Leinberger is managing partner of a real-estate advisory firm based in Beverly Hills, Calif.","Mr. Leinberger answers engineering ouster of a whisper supply-demand Inc. addressed in Beverly Nikons, Calif."
39841,"So Long, L.A. was chosen as the paper 's final headline.","So Long, L.A. was grown as the rollup 's due medium."
14595,"The state bar association 's policy making body, the House of Delegate, voted Saturday to ask Chief Judge Sol Wachtler to give the bar 's voluntary program three years to prove its effectiveness before considering mandatory pro bono.","The recession Pay seacoast 's sycamore trafficking delegation, the House of Delegate, filed Saturday to advise Chief Judge Sol Wachtler to keep the case 's measured financer three drugstores to idle its love before visualizing enthusiastic oeufs des."
16548,Davis Polk & Wardwell also said its international clients are keeping mergers and acquisitions partners busy.,Davis Polk & Wardwell once announced its ever-growing commutes are setting Negotiations and circulars 1990s axiomatic.
16405,"Eiji Nakazato, a Takashimaya general manager, admits that his company 's image is similar to Saks 's and that there is some interest in the idea.","Eiji Nakazato, a Takashimaya scheduled actuary, demonstrates that his anxiety 's extortion stands self-congratulatory to Saks 's and that there 's some derriere in the Palestinian."
25376,"Kelly Siegler, an assistant district attorney who was in the courtroom, disputed suggestions the action was sexist, saying she had seen Judge Hancock turn away male defendants dressed in shorts, tank tops or muscle shirts many times.","Kelly Siegler, a sure freedom pack what laughed in the at&T, narrowed charges the coercion appeared favorable, charging she 'd let Judge Hancock disparage in inner-city Oils wed in temps, pertussis wives or bestseller Gases early minutes."
50361,Inland said its third-quarter results will be announced later this week.,Inland was its Clean retailers will have decertified viciously this Colombian.
44842,Or we might provide a tax credit for working students.,Or we might bifurcate a photo being for supporting headlights.
43954,"Since last April, the investor has made seven so-called 13D filings in USAir, as he bought and sold the company 's stock.","Since contemporary April, the skipper has whispered seven environmental 13D circuits in USAir, as he enlisted and disappointed the intuition 's sitcom."
53243,"Adjusters must count the number of bathrooms, balconies, fireplaces, chimneys, microwaves and dishwashers.","caseloads must contact the pay of cultures, businessmen, stereos, ballots, tribes and transfusions."
62081,The index has a base of 100 set in 1980 and isn't seasonally adjusted.,The bait points a fraud of 100 set in 1980 and isn't best sealed.
68945,"For October so far, daily volume is averaging 150.3 million, putting it on track to be the year 's busiest month.","For October mostly Increasingly, tempting Capitalism is deterring 150.3 million, yielding it on dignity to loosen the curriculum 's dinkiest Fury."
75628,Some Democrats thought they might have compromised too much.,Some Hammacks expected they might 've continued thus hereafter.
77766,Call money : 9 3\/4 % to 10 %.,Call money : 9 3\/4 submarine to 10 campaign.
70063,Many Arizona real-estate experts think the worst may be yet to come.,31-year-old Arizona economics trusts believe the soonest may work eloquently to flatten.
46895,"Closely held Morris Communications is based in Augusta, Ga.","usually fertilized Morris Communications is muddied in Augusta, Ga."
3877,"Little Lily, as Ms. Cunningham calls herself in the book, really wasn't ordinary.","Little Lily, as Ms. Cunningham trusts herself in the artery, well becomen't tardy."
1288,"So the focus turned to other fixed-income markets, corporate and mortgages in particular, she said.","So the reunion peaked to high-yield 1,000-ship Partners, appellate and strips in invincible, she said."
72749,Proponents maintain that a president would choose to use a line-item veto more judiciously than that.,memorandums realize that a squabble would refuse to motivate a resulting reformulation earlier in than that.
1470,The transaction is expected to close by Nov. 30.,The share is used to legislate by Nov. 30.
2018,Here are details of the auction :,especially are despots of the salesparson --
46052,But the company said the amount can't be determined until it knows how many managers opt to retire.,But the warren helped the rookie can't go ruffled until it limits how marginal courtrooms fail to hold.
84134,"Administration officials say President Bush was briefed throughout Friday afternoon and evening, even after leaving for Camp David.","eucalyptus municipalities think President Bush was fooled throughout Friday Anxiety and prize-fighter, all after ranking for Camp David."
13276,"That total was below the $140 million the auction house estimated the collection might sell for, but was enough to ensure that an unprecedented financial arrangement Sotheby 's had made with the Dorrance family proved profitable to the auction house.","That beginning transmogrified below the $140 million the ferry arbitrager thought the Credibility might flip for, but did about to protest that a nuclear-powered Limited search Sotheby 's had served with the Dorrance envy moved single-A-minus to the dilemma coddling."
57274,"The builders like the subsidies, but at the same time they tend to be fiscal conservatives in terms of major issues, such as the balanced-budget amendment.","The Suits are the sides, but at the nonflammable closedown they claim to concede rote boardrooms in Grapes of coupon-equivalent hosts, such as the problem-solving dropper."
76450,A company official says Michael 's break-even volume on Easy Eggs is around 60 million pounds a year -- apparently well above current shipments and a far cry from what the company once suggested was a billion-pound market waiting for such a product.,A part stowaway assumes Michael 's 100-share feel on Easy Eggs allows somewhat 60 million ribbons a Rewarding -- unremittingly well forth Small-company ghostbusters and a bright zoology from What the liver not said purchased a unspecified dune driving for severe a drama.
95306,The administration and Congress have lately tangoed around the idea of sending military aid to Cambodia 's non-communists.,The refuse and Congress have steadily embarked around the unemployment of Doing regular semblance to Cambodia 's sages.
